source_file|file_type|file_size_bytes|source_url|source_page|retrieved_at|notes
kafue_2022_cdf_submission.xlsx|xlsx|149895|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2022_financial_statements.pdf|pdf|2406748|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2023_cdf_submission.xlsx|xlsx|170709|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2023_financial_statements.pdf|pdf|2851834|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2024_2025_performance.xlsx|xlsx|77482|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2024_cdf_expenditure.xlsx|xlsx|258367|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2024_cdf_submission.xlsx|xlsx|191198|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2024_community_projects.xlsx|xlsx|69348|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2024_financial_statements.pdf|pdf|1443994|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2025_approved_cdf_projects.pdf|pdf|1085867|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2025_budget.pdf|pdf|1927997|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2025_capital_projects.pdf|pdf|598506|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2025_cdf_all_applications.pdf|pdf|2721944|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2025_council_minutes.pdf|pdf|1008799|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_2026_budget_performance.pdf|pdf|323216|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
kafue_idp_2024_2034.pdf|pdf|8951011|https://www.kafuecouncil.gov.zm/?page_id=195|https://www.kafuecouncil.gov.zm/?page_id=195|2026-09-11|Downloaded from the official Kafue Town Council publications page; raw source files are kept outside the submission CSV release.
