record_type|record_id|source_year|source_file|source_sheet|row_number|category|entity_name|description|province|district|constituency|ward|zone|sector|project_site|status|amount_requested|amount_recommended|amount_approved|amount_disbursed|annual_fees|termly_fees|date_approved|date_disbursed|source_url|source_name|retrieved_at
cdf_summary|2022_kafue_2022_cdf_submission_secondary_boarding_schools_summary|2022|kafue_2022_cdf_submission.xlsx|Secondary Boarding Schools||secondary_bursary_summary||74 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2022 cdf submission|2026-09-11
cdf_summary|2022_kafue_2022_cdf_submission_skills_development_summary|2022|kafue_2022_cdf_submission.xlsx|Skills Development||skills_development_summary||372 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2022 cdf submission|2026-09-11
cdf_summary|2023_kafue_2023_cdf_submission_secondary_boarding_schools_summary|2023|kafue_2023_cdf_submission.xlsx|Secondary Boarding Schools||secondary_bursary_summary||54 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2023 cdf submission|2026-09-11
cdf_summary|2023_kafue_2023_cdf_submission_skills_development_summary|2023|kafue_2023_cdf_submission.xlsx|Skills Development||skills_development_summary||503 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2023 cdf submission|2026-09-11
cdf_summary|2024_kafue_2024_cdf_submission_secondary_boarding_schools_summary|2024|kafue_2024_cdf_submission.xlsx|Secondary Boarding Schools||secondary_bursary_summary||106 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf submission|2026-09-11
cdf_summary|2024_kafue_2024_cdf_submission_skills_development_summary|2024|kafue_2024_cdf_submission.xlsx|Skills Development||skills_development_summary||409 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf submission|2026-09-11
cdf_summary|2024_kafue_2024_community_projects_secondary_boarding_schools_summary|2024|kafue_2024_community_projects.xlsx|Secondary Boarding Schools||secondary_bursary_summary||113 source rows retained as a non-identifying count; individual beneficiary fields excluded.||Kafue|Kafue||||||||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 community projects|2026-09-11
cdf_record|2022_kafue_2022_cdf_submission_empowerment_grants_0002|2022|kafue_2022_cdf_submission.xlsx|Empowerment Grants|8|empowerment_grant|ESTATES VILLE- MULTI-PURPOSE|VILLAGE BANKING|Lusaka|Kafue|Kafue|KASENJE|MUSAMBAZI|SAVINGS AND CREDIT FACILITY|||10000|10000|10000||||2022-09-15 00:00:00|0|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2022 cdf submission|2026-09-11
cdf_record|2022_kafue_2022_cdf_submission_empowerment_grants_0003|2022|kafue_2022_cdf_submission.xlsx|Empowerment Grants|9|empowerment_grant|NABOYE GENDER|VILLAGE BANKING|Lusaka|Kafue|Kafue|KASENJE|NAMOYE|SAVINGS AND CREDIT FACILITY|||10000|10000|10000||||2022-09-15 00:00:00|0|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2022 cdf submission|2026-09-11
cdf_record|2022_kafue_2022_cdf_submission_empowerment_grants_0004|2022|kafue_2022_cdf_submission.xlsx|Empowerment Grants|10|empowerment_grant|SANSAMUKENI WOMEN'S CLUB|VILLAGE BANKING|Lusaka|Kafue|Kafue|KASENJE|NABOYE|SAVINGS AND CREDIT FACILITY|||10000|10000|10000||||2022-09-15 00:00:00|0|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2022 cdf submission|2026-09-11
