record_type|record_id|source_file|document_type|page_number|page_text|source_url|source_name|retrieved_at
document_page|kafue_2025_approved_cdf_projects_page_0001|kafue_2025_approved_cdf_projects.pdf|Approved CDF community projects 2025|1||https://www.kafuecouncil.gov.zm/?page_id=195|Approved CDF community projects 2025|2026-09-11
document_page|kafue_2025_cdf_all_applications_page_0001|kafue_2025_cdf_all_applications.pdf|CDF applications 2025|1||https://www.kafuecouncil.gov.zm/?page_id=195|CDF applications 2025|2026-09-11
document_page|kafue_2025_cdf_all_applications_page_0002|kafue_2025_cdf_all_applications.pdf|CDF applications 2025|2||https://www.kafuecouncil.gov.zm/?page_id=195|CDF applications 2025|2026-09-11
document_page|kafue_2025_cdf_all_applications_page_0003|kafue_2025_cdf_all_applications.pdf|CDF applications 2025|3||https://www.kafuecouncil.gov.zm/?page_id=195|CDF applications 2025|2026-09-11
document_page|kafue_2025_cdf_all_applications_page_0004|kafue_2025_cdf_all_applications.pdf|CDF applications 2025|4||https://www.kafuecouncil.gov.zm/?page_id=195|CDF applications 2025|2026-09-11
document_page|kafue_2025_budget_page_0001|kafue_2025_budget.pdf|Kafue Town Council budget 2025|1|OUTPUT BASED ANNUAL BUDGET Page 1 9004HEAD KAFUE TOWN COUNCIL 1.0 MANDATE 2.0 STRATEGY 3.0 NATIONAL DEVELOPMENT PLAN FRAMEWORK To provide operational and service excellence, innovation, community engagement and observance of good financial management and accountability. This is in agreement with the Republican Constitution (Amendment) Act No.2 of 2016 Part IX on the System of Devolved Governance [Article 147 (2)] and Part XI on the System of Local Government. Kafue Town Council will deliver sustainable Municipal services to the community through promotion of access to financing through the Constituency Development Fund, Enhancement of community engagement, and actualizing of the Integrated Development Plan through promotion of public private partnerships, social services for rural development, improvement of road network as well as actualization of decentralization. 01 Economic Transformation and Job CreationCluster : 01 An Industrialised and Diversified EconomyCluster Outcome 01 Improve agricultural production and productivityStrategy : 05 Improve transport and logisticsStrategy : 02 Enhanced Citizenry Participation in the EconomyCluster Outcome 01 Promote local and diaspora participation in the economyStrategy : 02 Promote Enterprise development Strategy : 04 Promote Financial InclusionStrategy : 02 Human and Social DevelopmentCluster : 01 Improved Education and Skills DevelopmentCluster Outcome 01 Enhance access to quality, equitable and inclusive educationStrategy : 03 Increased access to higher educationStrategy : 02 Improved Health, Food and NutritionCluster Outcome 01 Strengthen Public healthStrategy : 04 Reduced Poverty, Vulnerability and InequalitiesCluster Outcome 01 Improved Coordination of Social Protection ProgrammesStrategy : 02 Enhance welfare and livelihoods of poor and vulnerable peopleStrategy : 04 Increasing access to decent and affordable housingStrategy : 03 Environmental SustainabilityCluster : 02 Sustainable Environment and Natural Resources ManagementCluster Outcome 01 Promote Integrated Environmental ManagementStrategy : 04 Good Governance EnvironmentCluster : 01 Improved Policy and Governance EnvironmentCluster Outcome 03 Strengthen transparency and accountability mechanismsStrategy : 02 Improved Rule of Law, Human Rights and ConstitutionalismCluster Outcome 01 Strengthen human rights and constitutionalism Strategy :|https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council budget 2025|2026-09-11
document_page|kafue_2025_budget_page_0002|kafue_2025_budget.pdf|Kafue Town Council budget 2025|2|OUTPUT BASED ANNUAL BUDGETPage 2 9004HEAD KAFUE TOWN COUNCIL Local taxes/rates01 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Residential 19,490,761 19,490,761 19,490,761001 Commercial 3,281,273 3,281,273 3,281,273002 Industrial 11,807,907 11,807,907 11,807,907003 Hospitality 1,644,963 1,644,963 1,644,963004 36,224,904 36,224,904 36,224,904SubItem Total Personal levy 88,065 88,065 88,065001 88,065 88,065 88,065SubItem Total|https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council budget 2025|2026-09-11
document_page|kafue_2025_budget_page_0003|kafue_2025_budget.pdf|Kafue Town Council budget 2025|3|OUTPUT BASED ANNUAL BUDGET Page 3 9004HEAD KAFUE TOWN COUNCIL Fees and Charges02 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Consent fees 495,000 495,000 495,000001 Survey fees 155,500 155,500 155,500002 Building inspection-fees 320,000 320,000 320,000003 Plan scrutiny fee 322,500 322,500 322,500004 Rentals/lease of Council’s properties 345,780 345,780 345,780007 Non-Land Application forms fees 120,000 120,000 120,000008 Rentals from houses 30,000 30,000 30,000009 Search fees 15,000 15,000 15,000011 Notice board advert fees 10,000 10,000 10,000012 Market fees 158,400 158,400 158,400013 Loading fees (buses, trucks, trains, taxies etc.) 150,000 150,000 150,000016 Affidavit fees 1,250 1,250 1,250017 Hire of halls 69,000 69,000 69,000020 Hire of grounds/stadia 17,400 17,400 17,400021 Recommendations fees 36,000 36,000 36,000024 Hire of plant and equipment 1,023,980 1,023,980 1,023,980032 Refuse disposal 390,000 390,000 390,000033 Farm visits 27,555 27,555 27,555037 Library membership fees 12,500 12,500 12,500038 Franchise fees 48,000 48,000 48,000039 Notice of marriage fees 159,500 159,500 159,500045 Abattoir/meat inspection fees 11,100 11,100 11,100046 Registration of clubs and societies 172,500 172,500 172,500047 Slaughter inspections 2,665 2,665 2,665048 Farm produce Fee 379,543 379,543 379,543051 Animal Post-mortems 58,920 58,920 58,920054 Repairs of cars/garage/car wash 1,000 1,000 1,000056 Billboards and banners 348,340 348,340 348,340063 Council Minutes Extracts 18,000 18,000 18,000065 Penalties 205,400 205,400 205,400066 Ablution Fee 90,000 90,000 90,000067 Booth fees 50,000 50,000 50,000072 Maritime and inland waterways fees 150,000 150,000 150,000081 Consultation Clinic fees 8,040 8,040 8,040084 Animal Identification Mark Fees (Brand marks) 9,325 9,325 9,325087 Farm call visits 5,000 5,000 5,000088 Other fees and charges 405,600 405,600 405,600099 5,822,798 5,822,798 5,822,798SubItem Total|https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council budget 2025|2026-09-11
document_page|kafue_2025_budget_page_0004|kafue_2025_budget.pdf|Kafue Town Council budget 2025|4|OUTPUT BASED ANNUAL BUDGETPage 4 9004HEAD KAFUE TOWN COUNCIL Licenses03 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Occupancy licence 985,500 985,500 985,500001 Liquor licence 230,100 230,100 230,100002 Firearm and ammunition licence 22,800 22,800 22,800003 Petroleum Storage licence 305,500 305,500 305,500004 Dog licence 35,920 35,920 35,920005 Fish Licences/origin of fish 40,535 40,535 40,535007 1,620,355 1,620,355 1,620,355SubItem Total Levies04 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Livestock Movement levy 22,300 22,300 22,300001 Birds levy 2,012 2,012 2,012002 Fish levy 90,000 90,000 90,000003 Pole levy 9,365 9,365 9,365004 Charcoal levy 3,000 3,000 3,000005 Sand levy 726,000 726,000 726,000006 Quarry levy 360,000 360,000 360,000008 Telecommunication Mast 230,000 230,000 230,000011 Trading (Wholesale) Business Levy 83,085 83,085 83,085017 Trading (Retail) Consumable groceries business 110,770 110,770 110,770018 Retail Merchants non-consumable business 111,066 111,066 111,066019 Manufacturing 215,333 215,333 215,333021 Hawker 4,899 4,899 4,899026 Peddler 11,134 11,134 11,134027 Filling Station 71,104 71,104 71,104028 Professional Occupation 148,889 148,889 148,889029 Car Wash 20,000 20,000 20,000031 Hospitality 417,000 417,000 417,000032 Commercial Banks 48,000 48,000 48,000033 Micro- Finance and Money-Lenders 32,000 32,000 32,000034 Other levies 277,778 277,778 277,778099 2,993,734 2,993,734 2,993,734SubItem Total Permits05 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Health permits 2,398,500 2,398,500 2,398,500001 Permit for opaque beer 7,500 7,500 7,500002 Herbalist permit 1,550 1,550 1,550003 Nursery, pre-school permits 7,500 7,500 7,500007 Burial permits and grave sites 282,000 282,000 282,000008 Fire certificate 1,151,700 1,151,700 1,151,700009 Extension of Business hours permits 1,800 1,800 1,800010 Social gathering permit 15,000 15,000 15,000011 3,865,550 3,865,550 3,865,550SubItem Total|https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council budget 2025|2026-09-11
document_page|kafue_2025_budget_page_0005|kafue_2025_budget.pdf|Kafue Town Council budget 2025|5|OUTPUT BASED ANNUAL BUDGET Page 5 9004HEAD KAFUE TOWN COUNCIL 4.0 BUDGET SUMMARY The total budget estimates for Kafue Town Council stands at K138.1 million for the year 2025.This is spread across 15 programmes that the council will focus on and aim to implement. Compared with the 2024 budget which stood at K102.1 million, the 2025 budget represents an upward adjustment of 35 percent mainly necessitated by the increase in the Constituency Development Fund (CDF) allocation from K30.6 million per constituency in the past year to K36.1 million and the introduction of Cash for Work Programme as well as the Devolution Support Programme and the Sector Grants for the Devolved functions. Budget Allocation by Economic ClassificationTable:1 ECONOMIC CLASSIFICATION 2023 APPROVED BUDGET (K) No 2024 APPROVED BUDGET (K) 2025 BUDGET ESTIMATE (K) (0) 28,539,876 32,065,62821 Personal Emoluments (0) 29,762,367 35,051,24422 Goods and Services (0) 8,149,080 22,190,49026 Grants and Other Payments(Transfers) (0) - 6,228,22627 Subsidies to Non-Financial Enterprises (0) 24,907,446 32,030,10831 Non-Financial Assets (0) 3,492,463 3,736,93632 Financial Assets (0) 6,941,371 6,753,40841 Current Liabilities (Payable within one year) Charges06 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Land Application Charges 24,500 24,500 24,500007 24,500 24,500 24,500SubItem Total Other Incomes07 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Agency Commission 48,000 48,000 48,000005 Other Income 50,000 50,000 50,000099 98,000 98,000 98,000SubItem Total National Support (Grants)08 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Constituency Development Fund 36,058,151 36,058,151 36,058,151001 Roads Grant 3,200,587 3,200,587 3,200,587002 Health Grant 2,818,861 2,818,861 2,818,861003 Local Government Equalisation Fund 14,727,797 14,727,797 14,727,797004 Grants in lieu of Rates 150,000 150,000 150,000005 Other Grants 22,022,738 22,022,738 22,022,738099 78,978,134 78,978,134 78,978,134SubItem Total Donor Support09 APPROVED BUDGET 2025 REVISED BUDGET 2026 BUDGET ESTIMATE 2027 CODE REVENUE DESCRIPTION Devolution Capital Grant 8,340,000 8,340,000 8,340,000001 8,340,000 8,340,000 8,340,000SubItem Total 138,056,040138,056,040Grand Total 138,056,040|https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council budget 2025|2026-09-11
