record_type|record_id|reporting_month|source_file|source_sheet|row_number|metric|monthly_amount|cumulative_amount|notes|source_url|source_name|retrieved_at
finance_metric|finance_january_0008|January|kafue_2024_cdf_expenditure.xlsx|January|8|CASH BOOK BALANCE AS AT 01/01/2024|22242861.39|23506000.39|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_january_0016|January|kafue_2024_cdf_expenditure.xlsx|January|16|TOTAL RECEIPTS|23660802.57|23660802.57|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_january_0026|January|kafue_2024_cdf_expenditure.xlsx|January|26|TOTAL EXPENDITURE|613670.63|613670.63|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_january_0027|January|kafue_2024_cdf_expenditure.xlsx|January|27|CASH BALANCE/DEFICIT|23047131.94|23047131.94|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_january_0045|January|kafue_2024_cdf_expenditure.xlsx|January|45|CASH BALANCE|0|0|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_january_0066|January|kafue_2024_cdf_expenditure.xlsx|January|66|CASH BALANCE|4377411.025154999|4377411.025154999|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_january_0085|January|kafue_2024_cdf_expenditure.xlsx|January|85|CASH BALANCE|19496782.03|19496782.03|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0008|February|kafue_2024_cdf_expenditure.xlsx|February|8|CASH BOOK BALANCE AS AT 01/02/2024|23506000.39||Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0012|February|kafue_2024_cdf_expenditure.xlsx|February|12|TOTAL RECEIPTS|118134.78|23778937.35|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0023|February|kafue_2024_cdf_expenditure.xlsx|February|23|TOTAL EXPENDITURE|2559552.53||Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0024|February|kafue_2024_cdf_expenditure.xlsx|February|24|CASH BALANCE/DEFICIT|-2441417.75||Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0042|February|kafue_2024_cdf_expenditure.xlsx|February|42|CASH BALANCE|0|0|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0063|February|kafue_2024_cdf_expenditure.xlsx|February|63|CASH BALANCE|3525561.2199999997|3525561.2199999997|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_february_0081|February|kafue_2024_cdf_expenditure.xlsx|February|81|CASH BALANCE|18956491.184|18956491.184|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_march_0008|March|kafue_2024_cdf_expenditure.xlsx|March|8|CASH BOOK BALANCE AS AT 01/03/2024|23506000.39||Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_march_0014|March|kafue_2024_cdf_expenditure.xlsx|March|14|TOTAL RECEIPTS|118039.4|23896976.750000004|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_march_0026|March|kafue_2024_cdf_expenditure.xlsx|March|26|TOTAL EXPENDITURE|4446115.09|7619338.25|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_march_0027|March|kafue_2024_cdf_expenditure.xlsx|March|27|CASH BALANCE/DEFICIT|-4328075.6899999995||Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_march_0045|March|kafue_2024_cdf_expenditure.xlsx|March|45|CASH BALANCE|0|0|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
finance_metric|finance_march_0066|March|kafue_2024_cdf_expenditure.xlsx|March|66|CASH BALANCE|2730442.1399999997|2730442.1399999997|Values are preserved as reported; currency and column meaning should be checked against the source sheet.|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 cdf expenditure|2026-09-11
