record_type|record_id|source_year|source_file|source_sheet|row_number|programme|key_output|key_indicator|annual_target|achieved_output|variance|status|comment|source_url|source_name|retrieved_at
performance_record|performance_bi_annual_performance_2024_0001|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|52|Constituency Development|Community Projects Undertaken|01 Propotion of Rural areas electrified|100||100|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0002|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|53|||02 Ambulance procured|1|1|0||MLRGD|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0003|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|54|||03 Number of desks procured|7000|3000|4000||WIP|https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0004|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|55|||04 Number of Maternity annexes constructed|2||2|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0005|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|56|||05 Propotion of public Places with safe and piped water|100||100|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0006|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|57||Women and Youth Empowerment Paid|01 Disbursing Women and Youth Empowerment|150|89|61|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0008|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|59||Constituency Development Fund Administrative costs Utilised|untilising constituency development fund|100|50|50|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0009|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|60||Secondary School and Skills Development Bursaries Paid|01 Secondary School Bursaries paid|100|71|29|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0010|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|61|||02 Skills Development Bursaries paid|500|414|86|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0012|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|63|Local Governance|||||0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0013|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|64||Ordinary Council and Committee Meetings held|01 Number of Ordinary Council Meetings held|4|2|2|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0014|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|65|||02 Number Special Council Meetings held|2|0|2|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0015|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|66|||03 Number of Committee Meetings held|20|10|10|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0016|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|67|||04 Number of Special Committee meetings held|2|0|2|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0017|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|68||Ward Development Committees formed|01 Number of ward development committees formed|18|18|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0018|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|69|||02 Number of ward development committees Oriented|18|18|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0019|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|70|||03 Number of ward development committees Operationalized|18|18|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0020|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|71|Integrated Development Planning||||||||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0021|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|72||IDP Approved|01 Number of IDPs approved|1|1|0|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0023|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|74||Local Area Development Plans Developed|01 Number of Local Area Development Plan Developed|1||1|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0025|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|76||Enforcement Notices Issued|01 Proportion of Enforcement Notices Issued|100|50|50|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0027|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|78||Land preparation for development undertaken|01 Proportion of Land preparation for development undertaken|100||100|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
performance_record|performance_bi_annual_performance_2024_0029|2024-2025|kafue_2024_2025_performance.xlsx|Bi Annual Performance 2024|80||Enviromental Sensitization Meetings Held|01 Number of Enviromental Sensitization Meetings Held|4|2|2|||https://www.kafuecouncil.gov.zm/?page_id=195|kafue 2024 2025 performance|2026-09-11
