record_type|record_id|title|category|description|value|unit|date|source_url|source_name|retrieved_at
fact|district_area|District area|district_profile|Approximately 4471 square kilometres|4471|km2||https://www.kafuecouncil.gov.zm/?page_id=2759|Kafue Town Council|2026-09-11
fact|constituencies|Constituencies|district_profile|Kafue has one constituency|1|constituency||https://www.kafuecouncil.gov.zm/?page_id=2541|Kafue Town Council|2026-09-11
fact|wards|Wards|district_profile|Kafue Constituency has 18 wards|18|wards||https://www.kafuecouncil.gov.zm/?page_id=2541|Kafue Town Council|2026-09-11
fact|population|District population|district_profile|Population reported on the Quick Facts page|219574|people||https://www.kafuecouncil.gov.zm/?page_id=2541|Kafue Town Council|2026-09-11
fact|province|Province|district_profile|Kafue District is in Lusaka Province|Lusaka|province||https://www.kafuecouncil.gov.zm/?page_id=2759|Kafue Town Council|2026-09-11
fact|finance_budgeting|Finance department function|finance|Coordinates annual council budgets and regular budget performance reviews||||https://www.kafuecouncil.gov.zm/?page_id=1409|Kafue Town Council|2026-09-11
fact|finance_revenue|Finance department objective|finance|Maximises the council revenue base and manages financial resources||||https://www.kafuecouncil.gov.zm/?page_id=1409|Kafue Town Council|2026-09-11
fact|planning_cdf|Planning department function|planning|Coordinates Constituency Development Fund activities||||https://www.kafuecouncil.gov.zm/?page_id=1411|Kafue Town Council|2026-09-11
fact|planning_gis|Planning department function|planning|Manages geographical information systems and development planning||||https://www.kafuecouncil.gov.zm/?page_id=1411|Kafue Town Council|2026-09-11
fact|engineering_water|Engineering service|engineering|Provides rural water and sanitation services in the district||||https://www.kafuecouncil.gov.zm/?page_id=1415|Kafue Town Council|2026-09-11
fact|engineering_roads|Engineering service|engineering|Constructs and maintains roads and drainages||||https://www.kafuecouncil.gov.zm/?page_id=1415|Kafue Town Council|2026-09-11
fact|mandate_services|Council mandate|mandate|Provides municipal services to spur socio-economic development||||https://www.kafuecouncil.gov.zm/?page_id=169|Kafue Town Council|2026-09-11
fact|cosp_motorbikes|COSP motorbike handover|official_news|Nine motorbikes were handed over to Kafue Town Council for agriculture, health, community development, education, water and infrastructure implementers|9|motorbikes|2025-12-04|https://www.kafuecouncil.gov.zm/?p=2902|Kafue Town Council|2026-09-11
fact|cosp_irrigation|COSP irrigation target|official_news|Chiansi Outgrower Small Holder Support Project intends to develop an irrigation scheme covering 600 hectares|600|hectares||https://www.kafuecouncil.gov.zm/?p=2902|Kafue Town Council|2026-09-11
fact|cash_for_work_beneficiaries|2026 Revised Cash for Work|official_news|National programme coverage and target reported by the council news post|1500000|beneficiaries|2026|https://www.kafuecouncil.gov.zm/?p=3023|Kafue Town Council|2026-09-11
resource|resource_ces|DRAFT KAFUE TOWN COUNCIL CITIZEN ENGAGEMENT STRATEGY|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2025/07/DRAFT-KAFUE-TOWN-COUNCIL-CITIZEN-ENGAGEMENT-STRATEGY-CES.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
resource|resource_idp|KAFUE IDP 2024-2034|linked_document|Official council resource|https://www.kafuecouncil.gov.zm/wp-content/uploads/2025/01/KAFUE-IDP-2024-2034.pdf|url||https://www.kafuecouncil.gov.zm/?page_id=195|Kafue Town Council|2026-09-11
